URL,Snippet
https://archive.org/details/BBCNEWS_20170131_054500_BBC_News#start/493/end/528,beena part airlin industri part move reduc carbon teal last year teal agre deal curb greenhous gase sol
https://archive.org/details/BBCNEWS_20170118_190000_BBC_News#start/1246/end/1281,beaten degre celsiu seem like lot term yearli variat actual huge part rise caus el nino event warm ocean current disrupt world weather scientist say greenhous gase
https://archive.org/details/BBCNEWS_20170105_213000_Outside_Source#start/1111/end/1146,contact expect co nta ct le ns expect contact len come eye good catch term polici alreadi pushback global warm interest see backdrop presid trump come oval offic say thing like climat chang someth
https://archive.org/details/BBCNEWS_20170105_210000_Outside_Source#start/798/end/833,everi time marketplac close anoth appear replac inafew minut go talk global warm
https://archive.org/details/BBCNEWS_20170111_030000_BBC_News#start/696/end/731,applaus climat chang controversi issu seen odd incom presid next speech agenda take challeng climat chang
https://archive.org/details/BBCNEWS_20170118_133000_BBC_News#start/1266/end/1301,mr trump think former attorney gener interest pic given actual climat chang nye mani peopl climat chang
https://archive.org/details/BBCNEWS_20170130_231500_Newsnight#start/1414/end/1449,problem face today europ climat chang
https://archive.org/details/BBCNEWS_20170118_213000_Outside_Source#start/783/end/818,agreement global deal came forc last year carbon dioxid record level scientist say temperatur threshold cours surpass tackl global warm
https://archive.org/details/BBCNEWS_20170110_020000_BBC_News#start/640/end/675,patrol far side meanwhil itali christma card scene littl event year ago imag commonplac januari across europ five year global warm
https://archive.org/details/BBCNEWS_20170118_230000_BBC_News#start/584/end/619,set pari climat agreement global deal came forc last year carbon dioxid record level scientist say temperatur threshold cours surpass tackl global warm
https://archive.org/details/BBCNEWS_20170106_130000_BBC_News_at_One#start/1173/end/1208,sheu shelf could flow faster contribut sea level rise next decad new iceberg one biggest record around time size manhattan island despit concern global warm
https://archive.org/details/BBCNEWS_20170117_190000_BBC_News#start/3319/end/3354,barack obama remind donald trump messag back learn climat chang
https://archive.org/details/BBCNEWS_20170115_003000_Reporters#start/488/end/523,big busi brazilian govern defend plan build dozen hydroelectr dam say vital meet countri energi need environmentalist say plan disast amazon result deforest global warm
https://archive.org/details/BBCNEWS_20170110_023000_Monday_in_Parliament#start/19/end/54,brazil govern defend plan build dozen huge hydro electr dam argu project boost economi provid clean energi environmentalist say plan disast amazon actual result deforest global warm
https://archive.org/details/BBCNEWS_20170129_060000_Breakfast#start/790/end/825,immigr polici suggest princ charl donald trump could go head head row climat chang presid take lectur princ said cours princ charl activ vocal field climat chang
https://archive.org/details/BBCNEWS_20170125_230000_BBC_News#start/403/end/438,mp queu offer issu could take new presid must abid withdraw pari climat chang treati
https://archive.org/details/BBCNEWS_20170103_170000_BBC_News_at_Five#start/2999/end/3034,payment unit nation climat chang programm eye donald trump global warm tweet climat chang hoax elect said pull
https://archive.org/details/BBCNEWS_20170110_040000_BBC_News#start/932/end/967,brazil govern defend plan build dozen huge hydro electr dam amazon argu project boost economi har countri natur resourc provid clean energi environmentalist say plan disast amazon actual result deforest global warm
